worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes,pv_benefits,ben_tax_ratio
very_low,medium,1980,65,87,335778.6592678637,496119.9362276732,1.4775207492620874
very_low,medium,1985,65,87,381889.89216630167,534888.65992678,1.4006358138797033
very_low,medium,1990,65,87,431656.05591478606,574793.963105103,1.3316017584578357
very_low,medium,1995,65,88,482682.4433775058,637396.7391786899,1.3205301910684621
very_low,medium,2000,65,88,532523.6327401802,684594.1975660195,1.2855658518727842
very_low,medium,2005,65,88,579718.4967347806,736360.8765646666,1.2702042124102682
very_low,medium,2010,65,88,627293.9120441356,792313.3386609809,1.2630655637627721
very_low,none,1930,65,83,74376.20318241113,141167.11975231624,1.8980146029516625
very_low,none,1935,65,84,94475.40874502865,174725.5261442347,1.8494286340246064
very_low,none,1940,65,84,103844.629651364,210711.99601108694,2.0291082622039016
very_low,none,1945,65,84,108804.97685900916,220782.89534455485,2.02916173246972
very_low,none,1950,65,85,103841.16683339715,229675.8167294305,2.2117992674131113
very_low,none,1955,65,85,98360.65997126908,243647.71646595316,2.4770850107870572
very_low,none,1960,65,86,90065.71817878423,218241.15095375982,2.423132301244098
very_low,none,1965,65,86,95975.08150053959,234089.84656969886,2.439069005306161
very_low,none,1970,65,86,104670.27648194552,252435.94700754143,2.4117252336778137
very_low,none,1975,65,86,117865.80126577175,273869.9747218367,2.323574537997635
very_low,none,1980,65,87,134282.3264470022,306561.198770457,2.282960139891893
very_low,none,1985,65,87,152721.04319284865,330566.09706329886,2.164509160966614
very_low,none,1990,65,87,172621.39061152464,355153.77523274394,2.0574146342732162
very_low,none,1995,65,88,193026.22196658843,393891.81914596935,2.040613006527939
very_low,none,2000,65,88,212956.20517036738,423057.8696088741,1.9865956442566348
very_low,none,2005,65,88,231828.7151283381,455085.20197629865,1.963023440492986
very_low,none,2010,65,88,250853.59758738562,489619.7488652196,1.951814738055168
very_low,very_low,1930,65,83,74376.20318241113,141167.11975231624,1.8980146029516625
very_low,very_low,1935,65,84,94475.40874502865,174725.5261442347,1.8494286340246064
very_low,very_low,1940,65,84,103844.629651364,210711.99601108694,2.0291082622039016
very_low,very_low,1945,65,84,108804.97685900916,220782.89534455485,2.02916173246972
very_low,very_low,1950,65,85,103841.16683339715,229675.8167294305,2.2117992674131113
very_low,very_low,1955,65,85,98360.65997126908,243647.71646595316,2.4770850107870572
very_low,very_low,1960,65,86,90065.71817878423,218241.15095375982,2.423132301244098
very_low,very_low,1965,65,86,95975.08150053959,234089.84656969886,2.439069005306161
very_low,very_low,1970,65,86,104670.27648194552,252435.94700754143,2.4117252336778137
very_low,very_low,1975,65,86,117865.80126577175,273869.9747218367,2.323574537997635
very_low,very_low,1980,65,87,134282.3264470022,306561.198770457,2.282960139891893
very_low,very_low,1985,65,87,152721.04319284865,330566.09706329886,2.164509160966614
very_low,very_low,1990,65,87,172621.39061152464,355153.77523274394,2.0574146342732162
very_low,very_low,1995,65,88,193026.22196658843,393891.81914596935,2.040613006527939
very_low,very_low,2000,65,88,212956.20517036738,423057.8696088741,1.9865956442566348
very_low,very_low,2005,65,88,231828.7151283381,455085.20197629865,1.963023440492986
very_low,very_low,2010,65,88,250853.59758738562,489619.7488652196,1.951814738055168
