worker_type,spouse_type,birth_yr,claim_age,irr_scheduled,irr_payable
high,low,1945,65,0.026473234902878486,0.026473234902878486
high,low,1950,65,0.024929985918685477,0.024401099393923615
high,low,1955,65,0.025209325814712906,0.02311920829544655
high,low,1960,65,0.0229195470572883,0.018786628826136863
high,low,1965,65,0.023227749675397518,0.01697178011827978
high,low,1970,65,0.024015895213133322,0.015689725564073654
high,low,1975,65,0.02459132177400512,0.015784150672615155
high,low,1980,65,0.026039626738861874,0.016783634165611253
high,low,1985,65,0.02619602197969823,0.016317402423228378
high,low,1990,65,0.026094510979703184,0.015579236809402167
high,low,1995,65,0.02690113186654846,0.016004233968482245
high,low,2000,65,0.026701379065443696,0.015489411794562695
high,low,2005,65,0.026568851580276474,0.01525606113827525
high,low,2010,65,0.026510614518671205,0.015278416261397969
high,medium,1930,65,0.034082529148150846,0.034082529148150846
high,medium,1935,65,0.03004854366980296,0.03004854366980296
high,medium,1940,65,0.028474610938214566,0.028474610938214566
high,medium,1945,65,0.02374368725967345,0.02374368725967345
high,medium,1950,65,0.02225698426802706,0.021710709006375756
high,medium,1955,65,0.02256334561357657,0.02041854822446035
high,medium,1960,65,0.020380800707313584,0.016171211177184557
high,medium,1965,65,0.020680156968205854,0.014350899718456968
high,medium,1970,65,0.021472188412441032,0.013096202573830637
high,medium,1975,65,0.022044798236192997,0.013182111446689512
high,medium,1980,65,0.023520335933783994,0.014207270212126881
high,medium,1985,65,0.02366366088999772,0.013724590391616068
high,medium,1990,65,0.023557140761335076,0.012980215912534647
high,medium,1995,65,0.024400302288434275,0.013448144526925523
high,medium,2000,65,0.024203870130639193,0.012940551556621905
high,medium,2005,65,0.02407637297293715,0.012718694056682451
high,medium,2010,65,0.024021003050094948,0.012748978983299577
high,high,1930,65,0.032026774915443236,0.032026774915443236
high,high,1935,65,0.027637415087583175,0.027637415087583175
high,high,1940,65,0.02587033823513321,0.02587033823513321
high,high,1945,65,0.021071545895282977,0.021071545895282977
high,high,1950,65,0.019662309657267663,0.019098911452087457
high,high,1955,65,0.0199985391221402,0.017799508604573893
high,high,1960,65,0.017819245999412172,0.013531332333962462
high,high,1965,65,0.0181634509440783,0.01176148536335581
high,high,1970,65,0.018964000557660052,0.010538076983353028
high,high,1975,65,0.01953806889307122,0.010620098636742466
high,high,1980,65,0.021041834600331332,0.011672509504050927
high,high,1985,65,0.02117501178542364,0.011176870035538428
high,high,1990,65,0.021062468534052293,0.010424891695201827
high,high,1995,65,0.021944390889073247,0.010938025476569753
high,high,2000,65,0.021750979014909678,0.010437396218648897
high,high,2005,65,0.021627366066524847,0.010225652504343334
high,high,2010,65,0.02157506462519077,0.01026406917521428
high,max,1930,65,0.029618828244574603,0.029618828244574603
high,max,1935,65,0.024970004260238293,0.024970004260238293
high,max,1940,65,0.022729412623254886,0.022729412623254886
high,max,1945,65,0.017049083084112477,0.017049083084112477
high,max,1950,65,0.014957504406263662,0.014361784795488436
high,max,1955,65,0.014527861834239693,0.012248034623156545
high,max,1960,65,0.011994577654516721,0.007646526016143003
high,max,1965,65,0.012142454339385728,0.005767075950157506
high,max,1970,65,0.012821963920897024,0.004549738004223361
high,max,1975,65,0.013309479372145562,0.004554385425046867
high,max,1980,65,0.014774947908460883,0.005598313783971402
high,max,1985,65,0.014961628111397118,0.0051571501376019785
high,max,1990,65,0.014927266352787093,0.0044798017011194674
high,max,1995,65,0.01590798907256463,0.005102772832730809
high,max,2000,65,0.015727671747802825,0.004624454982764577
high,max,2005,65,0.015542395083392644,0.0043795331253967265
high,max,2010,65,0.015454326148638571,0.004398009575776544
max,none,1930,65,0.02740684870372069,0.02740684870372069
max,none,1935,65,0.022588647208656394,0.022588647208656394
max,none,1940,65,0.02005106651822316,0.02005106651822316
max,none,1945,65,0.01386953406224387,0.01386953406224387
max,none,1950,65,0.011482229310588968,0.010861007367999973
max,none,1955,65,0.010685468928769072,0.008338635227086267
max,none,1960,65,0.008026859246207614,0.003615878831523051
max,none,1965,65,0.008093178444984814,0.001700293096819769
max,none,1970,65,0.008720259897008904,4.999335057372862e-4
max,none,1975,65,0.009160241045622835,4.5797044599034723e-4
max,none,1980,65,0.010632488180509768,0.001521499783605568
max,none,1985,65,0.0108357688925247,0.0010953278555790602
max,none,1990,65,0.010827160125709438,4.4133957132760676e-4
max,none,1995,65,0.01186578848704474,0.0011308497319146367
max,none,2000,65,0.011688056621187689,6.618005640717916e-4
