worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1940,65,43,1983,26150.53584,2824.2578707200005,1003799.1245957689,16019.988483787049,0.021865888708949933,1003799.1245957689,16019.988483787049,0.021865888708949933
high,high,1940,65,44,1984,27865.265890000002,3176.6403114600002,1019722.4529275676,15923.32833179878,0.023691103033091885,1019722.4529275676,15923.32833179878,0.023691103033091885
high,high,1940,65,45,1985,29203.87736,3329.24201904,1035835.3295183821,16112.876590814441,0.017387748009480362,1035835.3295183821,16112.876590814441,0.017387748009480362
high,high,1940,65,46,1986,30209.25408,3443.85496512,1051813.031628107,15977.702109724865,0.013977497842960778,1051813.031628107,15977.702109724865,0.013977497842960778
high,high,1940,65,47,1987,32227.96599,3673.98812286,1068038.2636701511,16225.232042044168,0.010792633247687628,1068038.2636701511,16225.232042044168,0.010792633247687628
high,high,1940,65,48,1988,33853.90404,4103.093169648001,1084233.0537475816,16194.790077430429,0.01450400000619036,1084233.0537475816,16194.790077430429,0.01450400000619036
high,high,1940,65,49,1989,35174.2125,4263.114555000001,1100413.7662590798,16180.712511498248,0.009671881252125931,1100413.7662590798,16180.712511498248,0.009671881252125931
high,high,1940,65,50,1990,36798.965,4563.071659999999,1116637.891364517,16224.125105437124,0.007917533971434503,1116637.891364517,16224.125105437124,0.007917533971434503
high,high,1940,65,51,1991,38104.8652,4725.003284799999,1132832.0641099052,16194.172745388234,0.003151006900559154,1132832.0641099052,16194.172745388234,0.003151006900559154
high,high,1940,65,52,1992,39861.759959999996,4942.858235039999,1148941.9505596021,16109.886449696962,9.192373895183012e-4,1148941.9505596021,16109.886449696962,9.192373895183012e-4
high,high,1940,65,53,1993,39950.12109,4953.815015159999,1163049.5166924638,14107.566132861655,0.009895295991503442,1163049.5166924638,14107.566132861655,0.009895295991503442
high,high,1940,65,54,1994,40713.55042,5048.480252079999,1170457.0087334209,7407.492040957091,0.06103615506891446,1170457.0087334209,7407.492040957091,0.06103615506891446
high,high,1940,65,55,1995,41900.79936,5195.699120639999,1177778.1235730133,7321.114839592483,0.05936144475843795,1177778.1235730133,7321.114839592483,0.05936144475843795
high,high,1940,65,56,1996,43120.7296,5346.9704704,1183177.8056095582,5399.682036544895,0.0746171647433569,1183177.8056095582,5399.682036544895,0.0746171647433569
high,high,1940,65,57,1997,44594.676,5529.739823999999,1187749.9722642247,4572.16665466642,0.0808987190072604,1187749.9722642247,4572.16665466642,0.0808987190072604
high,high,1940,65,58,1998,45745.382399999995,5672.427417599999,1191724.0749376747,3974.102673450019,0.08543379746287198,1191724.0749376747,3974.102673450019,0.08543379746287198
high,high,1940,65,59,1999,46893.08376,5814.742386239999,1194648.5881539006,2924.513216225896,0.09468055047137346,1194648.5881539006,2924.513216225896,0.09468055047137346
high,high,1940,65,60,2000,47524.82396,5893.078171040001,1197108.49943064,2459.9112767393235,0.0981575038252442,1197108.49943064,2459.9112767393235,0.0981575038252442
